	type	p	R0	SS transmission ratio	SS fraction	infectious period
14	FFNN (huge, subtrees)		4.310830490308042	7.945266026880628	0.11151024358515292	1.5858172747720054
14	FFNN (large)		4.5925117	6.453905000000001	0.109330945	1.64167862231886
14	CNN (huge, subtrees)		4.300136349535169	7.886145253707553	0.10978493727078756	1.5857932777131425
14	real	0.39395107704374	4.69091099583	8.85366664386682	0.118599950921005	1.7449353898081599
15	FFNN (large)		4.7238803	5.475232599999999	0.124801345	3.96049438090284
15	real	0.199057637812149	4.55721578864157	5.3930226527064695	0.13070163337108	4.01077214044806
15	CNN (large)		4.583610500000001	5.220472	0.10391921	3.8400870012685098
15	real-subtrees	0.199057637812149	4.55721578864157	5.3930226527064695	0.13070163337108	4.01077214044806
15	CNN (huge, subtrees)		4.288960926790127	5.558241897912073	0.11080556387201088	3.8287971527966977
15	FFNN (huge, subtrees)		4.297982410313452	5.496867856073487	0.10286086475617333	3.7666448992227743
16	CNN (huge, subtrees)		3.4500464927255683	7.707448052782411	0.10099617895679464	3.791933432791018
16	CNN (large)		3.9027220000000002	8.79495	0.07926828	4.32327501644669
16	FFNN (large)		4.105404	8.429476	0.08676001	4.57032948504646
16	real-subtrees	0.20115537022704397	3.3792461194683208	7.58741490743356	0.08831668286533799	3.6677631305888494
16	FFNN (huge, subtrees)		3.3948055033753537	7.700013962860132	0.09019601220124096	3.7318366789416513
16	real	0.20115537022704397	3.37924611946832	7.58741490743356	0.088316682865338	3.6677631305888503
17	real	0.7028525340141579	1.37316949441976	7.81693191750988	0.08958738627331199	6.80913770444925
17	CNN (large)		1.4941633	6.2257524	0.11417726	6.955109856390379
17	real-subtrees	0.7028525340141579	1.37316949441976	7.81693191750988	0.08958738627331199	6.809137704449251
17	FFNN (huge, subtrees)		1.3820720336538488	7.430116310503218	0.09865556441836756	6.796083755112438
17	CNN (huge, subtrees)		1.3920257868538493	7.6194843813658455	0.09626495702191908	6.883815039998684
17	FFNN (large)		1.419025	6.5838375	0.08033135	6.58484103896286
18	real	0.21438929604513499	1.98850107714524	5.45224480261265	0.081250009878902	3.8468127394305496
18	CNN (huge, subtrees)		2.1128249106729666	5.277897484144949	0.1013886240472611	4.063115899212351
18	CNN (large)		1.8306699	5.953167	0.13664344	3.6244808997148596
18	FFNN (huge, subtrees)		2.125366870675137	5.301586561875994	0.10024016429661524	4.086654361970194
18	FFNN (large)		1.7483163000000002	4.973785400000001	0.08982240400000001	3.3853299422297995
18	real-subtrees	0.21438929604513496	1.98850107714524	5.45224480261265	0.081250009878902	3.8468127394305496
19	real	0.45888740102753706	2.6204935890626	7.871821714025639	0.18717849216727997	3.7287256560400004
19	CNN (large)		2.225988	6.4738135	0.1448845	3.42193122239799
19	FFNN (huge, subtrees)		2.5385572080700127	7.3839326247153725	0.1430142494124001	3.5627524779003505
19	real-subtrees	0.45888740102753706	2.6204935890626	7.871821714025638	0.18717849216727997	3.7287256560400004
19	FFNN (large)		2.195744	7.146629300000001	0.17011756	3.4726423896065097
19	CNN (huge, subtrees)		2.559189455698707	7.235154975402644	0.14669684357301935	3.6449455185477535
20	real	0.6205353534473249	1.1983312069614098	4.08347110548798	0.10290671176789301	9.55316854711653
20	CNN (large)		1.2369288	5.393619999999999	0.11112434	9.88173734677428
20	CNN (huge, subtrees)		1.2407123600704628	4.328397797353087	0.09645022192632244	9.786757423445497
20	FFNN (large)		1.2501252	4.6780887	0.10646929599999999	9.707594936424641
20	FFNN (huge, subtrees)		1.2225317576823875	4.162872793067965	0.09460243860161617	9.807203270120231
20	real-subtrees	0.6205353534473249	1.1983312069614098	4.08347110548798	0.102906711767893	9.55316854711653
21	FFNN (large)		3.5932032999999994	6.9211674	0.12057725	7.9331653732307394
21	real-subtrees	0.47791620180899	3.9444310573991097	7.301578560251992	0.11046244766344496	8.340092968542729
21	CNN (large)		3.6260103999999997	7.1996455	0.11193073	7.8081184513516995
21	CNN (huge, subtrees)		3.9672739702413335	7.077068425037003	0.11329712211719127	7.997087366666314
21	real	0.47791620180899	3.9444310573991097	7.301578560251991	0.11046244766344501	8.34009296854273
21	FFNN (huge, subtrees)		4.005899403490416	7.0721942054569285	0.10373067968986027	8.14765581124364
22	real-subtrees	0.091365841239074	3.0431277222339204	5.381041615744211	0.097661058535367	1.82898063360519
22	real	0.091365841239074	3.04312772223392	5.381041615744211	0.097661058535367	1.82898063360519
22	CNN (huge, subtrees)		3.2373432200576757	5.884817363748728	0.11218233374592702	1.9738901702912302
22	FFNN (large)		4.1674633000000005	6.611572	0.08085396	2.67143761331588
22	CNN (large)		4.0331410000000005	6.3425827	0.09467232	2.61915259349806
22	FFNN (huge, subtrees)		3.2663034953115067	5.93759567294738	0.1011061339240488	1.94338191921479
23	real	0.317622678123324	2.79379090079521	4.42919146372262	0.084001986729897	2.2900383780428597
23	FFNN (large)		3.1611636	3.8490292999999998	0.10829805599999999	2.57144037956321
23	CNN (huge, subtrees)		3.021946636149056	4.662665315262093	0.09898841452265332	2.4814541941525223
23	real-subtrees	0.317622678123324	2.79379090079521	4.42919146372262	0.084001986729897	2.29003837804286
23	FFNN (huge, subtrees)		2.984560224455527	4.522588154775821	0.09608943266024886	2.4374813464575524
23	CNN (large)		3.3596582	3.6598968999999997	0.082496494	2.64423761106468
24	FFNN (large)		2.0784838	5.499761599999999	0.12086626	2.83238911445827
24	real-subtrees	0.814489863390116	2.0354736346771896	5.198781117182451	0.126137778607465	2.70728122668598
24	CNN (large)		2.0611196	6.5765357	0.16152698	2.93267377610163
24	real	0.814489863390116	2.03547363467719	5.198781117182451	0.126137778607465	2.70728122668598
24	FFNN (huge, subtrees)		2.074594132661719	5.359355754439396	0.12165211287051905	2.722990708222856
24	CNN (huge, subtrees)		2.0794793852941984	5.5199546358975216	0.1216108459241754	2.673512229753072
25	CNN (large)		1.4288610000000002	7.024396	0.08004746	1.78749008104541
25	FFNN (huge, subtrees)		1.4495103149875417	6.1608478286183646	0.12657477267239564	1.818085556712824
25	real-subtrees	0.17336250697437902	1.41791538554536	5.758736147880392	0.15756691941681406	1.8130874476380199
25	CNN (huge, subtrees)		1.4453544227234807	6.311725843445153	0.1217048633354032	1.8362786907324968
25	FFNN (large)		1.4318957	6.056921	0.11114191	1.7320031656607402
25	real	0.17336250697437902	1.4179153855453601	5.75873614788039	0.157566919416814	1.8130874476380199
26	CNN (large)		2.101948	3.7570791	0.07926625	7.610711566324969
26	real-subtrees	0.928608234139283	2.03380357358174	4.191314528067871	0.057129141087024	7.728637575172813
26	CNN (huge, subtrees)		2.2452423286683434	4.067776475259079	0.08291833778201244	7.9652118247834185
26	real	0.928608234139283	2.03380357358174	4.1913145280678705	0.057129141087024	7.72863757517281
26	FFNN (large)		2.1431317	4.1595892999999995	0.06433442	7.73218007937415
26	FFNN (huge, subtrees)		2.288141946569165	3.934266245784089	0.07599551226569484	8.150500379727585
27	CNN (large)		1.3952211	4.0538383	0.08013731	3.78159940293343
27	CNN (huge, subtrees)		1.2449581306684354	4.27470439460677	0.09613562177021144	3.8614354747373874
27	FFNN (large)		1.3244388	3.6988401	0.09255884	3.7121066928196096
27	real	0.40810159128264395	1.27290420295944	3.73274211740577	0.09911085890946	3.78495393118026
27	FFNN (huge, subtrees)		1.2468472903322878	3.916387813647992	0.08765249445823718	3.8572444126950036
27	real-subtrees	0.40810159128264395	1.2729042029594402	3.7327421174057696	0.09911085890946	3.78495393118026
28	real	0.729681085771673	2.03468700299685	7.793218731569341	0.06566127174561401	8.39001793696708
28	CNN (large)		2.3141847	6.617291499999999	0.07249257	8.421892151109361
28	FFNN (large)		2.2427203999999996	7.977644000000001	0.069001645	8.371189257043671
28	CNN (huge, subtrees)		2.0334333542202625	7.1174755285187565	0.08586785400229963	8.455036529712354
28	FFNN (huge, subtrees)		2.0483844399404543	7.125025811869667	0.07987795593312591	8.525140453779935
28	real-subtrees	0.729681085771673	2.03468700299685	7.793218731569339	0.06566127174561401	8.39001793696708
29	FFNN (large)		1.9346807000000001	3.8665769999999995	0.08229675	2.75604147148138
29	CNN (large)		1.983832	3.7330012000000004	0.06786597	2.7609160741823597
29	real-subtrees	0.9336823043418578	1.9330143527100705	4.26810892674345	0.12738155900031098	2.8243193489717
29	real	0.9336823043418578	1.93301435271007	4.26810892674345	0.12738155900031098	2.8243193489717
29	CNN (huge, subtrees)		1.989854574693318	4.506282282100568	0.11565281794307405	2.7902301206488596
29	FFNN (huge, subtrees)		2.0539917003217667	4.5823898984859435	0.1060152502160442	2.9426066054726023
30	CNN (large)		3.7671837999999997	8.497809	0.14937246	9.954170969454688
30	CNN (huge, subtrees)		3.9296047764539903	7.0076124424051285	0.12650896328971795	10.126286159986384
30	FFNN (huge, subtrees)		3.9818242570639084	7.039216238808341	0.12178800383635598	10.11524878227639
30	real	0.288395892547558	3.74574874495731	6.886147498515821	0.151450141971987	9.706436848296269
30	real-subtrees	0.288395892547558	3.74574874495731	6.886147498515822	0.151450141971987	9.706436848296269
30	FFNN (large)		3.9327351999999998	8.599267	0.13805756	10.5126891801603
31	FFNN (huge, subtrees)		2.5877063657094497	6.030701860245219	0.1352817362049138	2.7294213803958924
31	real	0.255716907946748	2.61405850477718	5.99739297880047	0.18776417793994002	2.7815753763808
31	CNN (large)		2.3365172999999997	6.54051	0.1649948	2.57923103943451
31	real-subtrees	0.255716907946748	2.61405850477718	5.99739297880047	0.18776417793994	2.7815753763808
31	FFNN (large)		2.3300586	5.552045	0.15491173	2.53812647507805
31	CNN (huge, subtrees)		2.5954840606604344	5.999780446263263	0.13927264229908498	2.7707277939051416
32	real-subtrees	0.5268332639358689	3.8824566468341803	5.5011443823472215	0.19115738391692802	2.31252565808202
32	CNN (large)		3.5526152	6.306879	0.11899027	2.22625590584517
32	real	0.5268332639358689	3.8824566468341803	5.501144382347221	0.19115738391692802	2.31252565808202
32	FFNN (large)		3.6747887	5.578275700000001	0.0916278	2.2349918926031096
32	CNN (huge, subtrees)		4.0059151322551	5.880952671533545	0.14852903052058164	2.3609248864552383
32	FFNN (huge, subtrees)		4.051192668815143	5.7716031862113795	0.1499966095542274	2.391555645092161
33	CNN (huge, subtrees)		3.2340974789024317	6.410424304683208	0.09120319487880613	4.755613352537795
33	FFNN (large)		3.5293143	6.9715753	0.10427358	5.316909612077089
33	FFNN (huge, subtrees)		3.1479636612226094	6.512653833774219	0.07982021071089125	4.66772384491865
33	real-subtrees	0.6675797849745689	3.0174211807172298	6.6832556697821	0.06675077217284599	4.56336728167284
33	real	0.6675797849745689	3.0174211807172298	6.6832556697821	0.06675077217284599	4.56336728167284
33	CNN (large)		3.5388608	7.609146000000001	0.11559304599999999	5.34265136298915
34	FFNN (large)		2.1778889	4.6839314000000005	0.13926202	9.63406394386414
34	real	0.7725724158879259	1.96292293769294	3.5102774938104906	0.168991557048768	8.480048720668089
34	real-subtrees	0.7725724158879259	1.96292293769294	3.5102774938104906	0.168991557048768	8.480048720668089
34	CNN (large)		2.2341816000000003	4.739596	0.14209720000000003	9.57279194488006
34	FFNN (huge, subtrees)		2.1243080748452083	3.951509841007215	0.10946479432664262	9.064413930310144
34	CNN (huge, subtrees)		2.098846167325973	4.18173962643853	0.1122003564266143	8.798560543744653
35	CNN (large)		2.9899607000000006	3.6212419999999996	0.097307295	5.96675907184618
35	real	0.268306759418787	3.12316189903225	4.0947869088009305	0.157419569214806	6.46877336287341
35	FFNN (huge, subtrees)		3.371431595017744	4.014105482965476	0.11512320289431616	6.88216638749884
35	CNN (huge, subtrees)		3.30915774301041	4.170063051142433	0.11492199652878812	6.699027007171352
35	FFNN (large)		2.9192264	3.6242297	0.109016694	5.87402171805616
35	real-subtrees	0.268306759418787	3.1231618990322505	4.0947869088009305	0.15741956921480602	6.46877336287341
36	real	0.7358167579898159	4.467284897444981	9.98052557349658	0.10057092656131301	5.4287478969718
36	CNN (huge, subtrees)		4.076985385069226	9.001797129927475	0.11568006671292876	4.7227494679300985
36	FFNN (huge, subtrees)		4.240735860894433	9.082374946186931	0.1129394208121952	5.027031100824551
36	real-subtrees	0.7358167579898159	4.467284897444978	9.98052557349658	0.100570926561313	5.4287478969718
36	FFNN (large)		4.6951529999999995	7.617756	0.10638509	5.17883700470056
36	CNN (large)		4.6318264000000005	8.432125	0.12012288	5.15322822489111
37	CNN (large)		2.6961812999999997	4.0697019999999995	0.09025097	6.88529659562127
37	FFNN (large)		2.7422560000000002	3.8856285	0.09464208	7.05113134774204
37	real	0.609308005183699	2.40092709909084	3.8096335482972203	0.091959107885679	6.030870755799319
37	FFNN (huge, subtrees)		2.571418250867172	4.163146415732307	0.08919141174813135	6.345167982328102
37	CNN (huge, subtrees)		2.5354549392119665	4.1869455336050985	0.09727626916937683	6.273964730993698
37	real-subtrees	0.609308005183699	2.40092709909084	3.8096335482972203	0.091959107885679	6.0308707557993175
38	FFNN (large)		2.3295066	7.9112034	0.15697318	1.2743081593495702
38	real	0.22060499154179397	2.3489324918661802	7.27600936397112	0.14463687324744298	1.32976894597154
38	real-subtrees	0.22060499154179397	2.34893249186618	7.27600936397112	0.14463687324744298	1.32976894597154
38	FFNN (huge, subtrees)		2.450454585413827	7.267935303616348	0.12474933011514648	1.3541341365707211
38	CNN (huge, subtrees)		2.452926141072397	7.196354901600218	0.12796957162181646	1.37510425897252
38	CNN (large)		2.3912772999999996	8.260895	0.15711182	1.30490403791038
39	real	0.812305308124785	2.00158284659139	7.09479376307817	0.193084929191563	5.890982397325031
39	CNN (large)		2.090262	6.846367	0.115320325	6.428936712658969
39	FFNN (huge, subtrees)		1.9898727925289417	6.845292200022845	0.14302244082271653	5.919196570237754
39	FFNN (large)		2.1733729999999998	6.898186999999999	0.10093253	6.3218472492074795
39	CNN (huge, subtrees)		2.013370905828821	6.884140107541883	0.15310435247230958	5.891745647845289
39	real-subtrees	0.812305308124785	2.00158284659139	7.09479376307817	0.193084929191563	5.890982397325032
40	real-subtrees	0.400146188691924	4.04924911943438	7.15030422630158	0.15253950734001098	1.5498106501424598
40	FFNN (large)		3.648575	5.585431	0.13323346	1.40052003673403
40	CNN (large)		3.6055374	5.9520955	0.12271923	1.38848512253938
40	CNN (huge, subtrees)		3.8798507038489687	7.308224993709384	0.13370424597178238	1.4775444061249112
40	real	0.400146188691924	4.04924911943438	7.15030422630158	0.15253950734001098	1.5498106501424598
40	FFNN (huge, subtrees)		3.9763159512013866	7.521765853180764	0.13238575799650806	1.5263182483204687
41	real	0.8493613699872091	4.01485491403103	4.37408621465075	0.116753207536254	7.78383811944723
41	CNN (large)		3.1456098999999997	3.9210934999999996	0.08694324	6.39542960832883
41	CNN (huge, subtrees)		3.8921961089846087	4.29994695680172	0.11209268097289092	7.398164512109531
41	FFNN (large)		3.2242715	3.8695314	0.098054625	6.55451174615657
41	FFNN (huge, subtrees)		3.9911982759783102	4.220539466577531	0.0984423865891355	7.6682116048045055
41	real-subtrees	0.8493613699872091	4.014854914031028	4.37408621465075	0.116753207536254	7.783838119447229
42	CNN (huge, subtrees)		1.0724021994581303	5.545651099361406	0.1023659592486195	4.111952542793687
42	real	0.61061237965055	1.0093899653859202	5.097036795640849	0.119660888529438	3.9361414784238304
42	FFNN (large)		1.0504388999999998	5.6180177	0.14193916	3.9130755316652
42	real-subtrees	0.61061237965055	1.0093899653859202	5.0970367956408476	0.119660888529438	3.9361414784238304
42	FFNN (huge, subtrees)		1.06195735274612	5.252646104467607	0.09601598107778947	4.031552234277984
42	CNN (large)		1.0672169	4.98566	0.12645309999999998	3.90361794053879
43	FFNN (large)		3.22523	7.96782	0.09852239	8.45170663453018
43	real-subtrees	0.207951695077553	3.79904695387494	9.206928998826381	0.191476863667498	9.278141507488801
43	FFNN (huge, subtrees)		3.6358638787946553	7.436081124330528	0.14271612491959093	8.665242413352653
43	real	0.207951695077553	3.7990469538749396	9.206928998826381	0.191476863667498	9.278141507488801
43	CNN (huge, subtrees)		3.6786731447703622	7.513502980609751	0.14127382343451408	8.805467169371859
43	CNN (large)		3.1514306	8.818663	0.16033301	8.23472629030557
44	CNN (huge, subtrees)		1.709501885139065	6.9752469157550845	0.1408553914933499	2.8992600948386444
44	FFNN (large)		1.698533	8.333542999999999	0.14930752	3.1303907369546904
44	real-subtrees	0.453220652195595	1.6888448872604898	6.6662897581377685	0.168866566890253	2.8351281849347902
44	FFNN (huge, subtrees)		1.6757525311090753	6.696228273164334	0.14968961859986452	2.8710024242110963
44	real	0.453220652195595	1.68884488726049	6.666289758137769	0.168866566890253	2.8351281849347902
44	CNN (large)		1.7326891	8.242149000000001	0.15138933	3.1466609155560694
45	real-subtrees	0.990844714621218	2.16640918874277	8.472412350027211	0.134945923945783	7.806242205373857
45	CNN (huge, subtrees)		2.1818606696714853	8.329130605296736	0.13174823809637595	7.4981049869728675
45	real	0.990844714621218	2.16640918874277	8.47241235002721	0.134945923945783	7.80624220537386
45	FFNN (huge, subtrees)		2.19442442803434	8.320546140897148	0.12683413315359018	7.743632428496393
45	FFNN (large)		1.9458336999999999	7.485767	0.08591322	7.328716127863211
45	CNN (large)		1.8524425	6.8224100000000005	0.14940515	7.338925948890849
46	CNN (large)		2.5703240000000003	4.308797	0.11422813	1.56025358801487
46	CNN (huge, subtrees)		3.5911636739142887	4.18376597295767	0.11223549892706368	1.8578517114167008
46	FFNN (huge, subtrees)		3.7069007673042416	4.121115853996395	0.09810703845330107	1.9042161363284975
46	real	0.7704627433127941	3.3989855511069	3.85862311387208	0.11897472255715501	1.81498267756794
46	real-subtrees	0.7704627433127941	3.3989855511069003	3.85862311387208	0.118974722557155	1.81498267756794
46	FFNN (large)		2.6913723999999997	4.2194023000000005	0.083895065	1.58395509419741
47	CNN (large)		4.320631	6.60054	0.08138382400000001	5.83883334302341
47	CNN (huge, subtrees)		4.2882896241065005	4.871130888615885	0.1156400887523928	5.4207428403054525
47	FFNN (large)		4.463333	5.8587837	0.07659621	6.059834290176151
47	real	0.686890910810614	4.89741432381816	5.22466980919591	0.12694725055200598	6.30835367360168
47	FFNN (huge, subtrees)		4.481282830699796	4.880970716322621	0.0980364790030064	5.7032550750240185
47	real-subtrees	0.686890910810614	4.89741432381816	5.22466980919591	0.12694725055200598	6.3083536736016805
48	CNN (huge, subtrees)		1.7429603193491614	8.562760120942947	0.15695009815145464	9.473210593184763
48	CNN (large)		1.3820566	9.244301	0.15882453	9.10139210717457
48	FFNN (huge, subtrees)		1.7070784662299383	8.508762738267901	0.14858896845763248	9.67621914423609
48	real	0.9834083077941559	1.67869353629769	9.66639682134522	0.16842976776753898	9.75031275519517
48	real-subtrees	0.9834083077941559	1.67869353629769	9.66639682134522	0.16842976776753898	9.75031275519517
48	FFNN (large)		1.3039126	9.35352	0.14402923	8.85497412089591
49	real-subtrees	0.2499093004605281	2.2030289369456195	6.050206739614831	0.09410911896154996	8.24592677410613
49	FFNN (huge, subtrees)		2.2956118338096183	6.454630703323049	0.10415628433907584	8.577894563443518
49	real	0.24990930046052803	2.20302893694562	6.05020673961483	0.09410911896155	8.24592677410613
49	CNN (huge, subtrees)		2.3002474376593263	6.499636590701102	0.10745611351995668	8.730992995254024
49	CNN (large)		1.9324085	5.4036669999999996	0.13945383	7.485753328496981
49	FFNN (large)		1.9317818	6.0624986	0.10202768	7.53839305133193
50	FFNN (huge, subtrees)		3.7304694787483306	6.856245450534631	0.15356603203647173	8.301884972040925
50	CNN (large)		2.8187523	8.512627	0.14026743	6.69785288944781
50	CNN (huge, subtrees)		3.833558975286151	7.012917824764156	0.1473039603833832	8.544909699817202
50	real-subtrees	0.175564353776006	3.75188545295563	9.14620065494749	0.198197870002468	8.80563153239034
50	real	0.175564353776006	3.75188545295563	9.14620065494749	0.198197870002468	8.80563153239034
50	FFNN (large)		3.0383883	8.303321	0.16738701	7.125453218101501
51	real-subtrees	0.865633677287619	3.41964725641773	5.657429434034362	0.05963662657409501	4.1637588683145585
51	real	0.865633677287619	3.41964725641773	5.657429434034361	0.059636626574095006	4.16375886831456
51	FFNN (huge, subtrees)		3.6013123836955767	5.1081056706373795	0.08092456030258315	4.323727937090379
51	CNN (large)		4.1410065000000005	6.325289700000001	0.09122965	5.12941413750372
